puzzle,solution,clues,difficulty,difficulty_range,result,time
679348521583192476142567398351276849928451637467983152214639785836725914795814263 0.165
142579863876132495953486217438765921519248736627913584281354679795621348364897152 1.473
582436719961827435437195682816973524759248361324561897693714258248359176175682943 9.814
268459371945137268713268594137685942529714836486392715854971623672543189391826457 0.030
351496728946782531872315964527861493469573182183249675234657819798124356615938247 4.802
815467239732589614496213758587124963641938527329756481958342176173695842264871395 5.209
176458329923671458458392617561289743894713562237546981682934175345127896719865234 6.952
178329645694517832352864791769185423421973586835246179586432917217698354943751268 0.676
756893412291465873483217965862379154345186729179524638934751286527648391618932547 0.204
419635278756482319823719654961248537347596182285371946598124763674953821132867495 2.452
482957316713462985659183742237648159961725438548319627874536291395271864126894573 1.431
718692534463157892925834716574316289831429657296578341382741965649285173157963428 1.091
198245736276938541543617928815364297769521483324879615951486372682793154437152869 1.449
783295614415386729629147538152974386978631452346528197267853941594712863831469275 13.747
789314652354672918216589437493157286821463579567928143678245391135796824942831765 3.898
862437915943615728157298643714862539325749861689153472438526197591374286276981354 1.361
837529146469178253125346987652931478791854632384762591516483729278695314943217865 7.662
412378965853964217697152384285617493736495128149283576971536842364821759528749631 1.312
752849361196273854438516792847152936623497185915368427581924673374685219269731548 39.998
572486391143925768986371245265849137897613452431257986654792813719538624328164579 19.788
214936857859417632673582419498273165125649378367851294946125783781394526532768941 0.853
971824563362517948854936721516279384248653179793481256625198437439765812187342695 0.909
274138965853946172916752834492613758765894213381527649129465387538271496647389521 1.074
975238164213674598486951732698147253527389416134526879362415987841793625759862341 4.149
317826945942735681586491273234618759859372164671954328128563497765149832493287516 0.246
374519286198236547652487931487923615231675498965148723549861372823754169716392854 28.446
654927813179538462832461759341682975285719346967345128713856294496273581528194637 5.451
564987321831562479297431865186723594753649182429158637948216753312875946675394218 0.278
943278561628154397715936284857623419234891675169745823571462938482319756396587142 0.450
968321457514879632273654189892413576631785294457962318749536821185247963326198745 1.605
875639241429158376136724985381496752597382614264517839758961423943275168612843597 0.289
694385217352176849817294563745813692938462175126957438473628951261539784589741326 39.341
634982751517634829829751364763198245958247613142563987276315498385429176491876532 0.458
657412389823759146194386572419837625385264791762195438931578264278641953546923817 25.268
135794628896125473427836519283547961764319285519682347958261734342978156671453892 0.354
147295863256438971389176245472359618695781432831624759718943526523867194964512387 0.175
329587146681429357457613289542931768138746925976852413814395672795264831263178594 0.478
978153624231647958456289713319864275742935861865721349127598436594376182683412597 20.402
923415687867923154451678392578164239246359871139782546785291463614537928392846715 0.528
162497358893156742745832619327684591418579263659213487576921834281345976934768125 0.309
294187356375926841816543729467819235138752964529364178982475613643291587751638492 0.287
418973652976285413325614987739146825842357169561829374684792531293561748157438296 0.554
271549638954386271368172945417693852583214796629758413136427589845961327792835164 2.468
478321965216954837359678124867132459192465378534897216943516782785243691621789543 22.797
523461978489257631167893524678512349215349867394678152852934716746185293931726485 1.440
921368745736459281854271963195682374462713598378945126247536819589124637613897452 0.369
728456391954321768316987425267835914489712653531694872892573146143269587675148239 0.832
395614278218375649647829135752198463183456792964237581836541927529763814471982356 6.465
658294713941738265237561849523619487869347521174825396386172954795486132412953678 0.375
183964725952738614674251938461379852537682491298145367746513289825496173319827546 0.526
468753291179246853325918467647321589291584376853679124532497618784162935916835742 9.591
482367159516289743397541826143725968628934571759618432935872614861453297274196385 4.068
653498712284716539197235684948621375712359846536874291879542163321967458465183927 0.216
498326715723518946561479832352794681649185273817632594175863429234957168986241357 1.501
946573182583412967127869354812634795364795821759281643298357416431926578675148239 127.785
672583194314729658985614273831952746726841539549376821467298315153467982298135467 1.178
728469351146358297395271684874695123963182745251734869532916478419827536687543912 12.259
284791635136528749795364812829617354643952178571843926358476291417289563962135487 3.156
852461793364579821179283465217638549438915276596724138981347652643152987725896314 33.635
814569372562743819793128564281697453947315286356284791439851627125476938678932145 6.659
572318496319654872684972315467523189891746253253891764725139648138465927946287531 0.970
748259631691843752235617489589762314473591826126438597817324965362975148954186273 13.325
213574869479816352856932471534769128921485736768321594642153987397248615185697243 0.712
439127856681354972257869314948516723763982145512473698396745281125698437874231569 3.569
563917842294863175781524693479136258815492736632758419956241387347689521128375964 11.848
271459368536178924894326157415987236728613495369245871187532649952864713643791582 9.996
239786145147295638568431927983172564615943782724568319351829476876354291492617853 14.734
928751463417632958356849172845367219163928547792514386674295831539186724281473695 1.310
236971845745283169819645723172398654958764312463152978594817236627439581381526497 9.984
261974853594283671837516924945621738173458269628397415716839542459162387382745196 9.208
756812943419537628823694715345961287972348156168275439631489572284756391597123864 0.761
467238195182965734935471862748126359359847621216359487571682943823794516694513278 6.784
473591682269483751518672943397245168641839275852716394726358419135964827984127536 1.075
829641375517293864643785192364128957791356248285479613476812539932564781158937426 0.314
326954718849617352751238649185743296637129584492586173518392467973461825264875931 0.215
378462195945317628621859347197634852836925714452178963283591476569743281714286539 1.966
627198534538462791914537682352876149849251376761349825286913457195784263473625918 0.383
395248176278651943461739258614523789732986514589174362856312497927465831143897625 0.047
142965378367418925895732461518297643624153897973846512751689234289374156436521789 0.047
913852476472691835658374921269138547184567293735429618896743152527916384341285769 0.748
261873594934125786875496213398514627756382149142967358413759862529638471687241935 1.542
361592784952847163784361259143975628675428931298136547436219875517684392829753416 1.634
189725436725643891634891527493576182217389654856412379378964215542137968961258743 0.423
623198745514372986978456321752683419431925678869714532186547293245839167397261854 21.390
753218694468795132921463587245831976187629345396547218679382451814956723532174869 0.046
714235896289176543635498712951623478346857129827914635492581367563749281178362954 1.742
814935276563827149729164853147586392635291784298743615386419527452378961971652438 0.721
187946325349125768562837194256781943438592671791463582814379256923658417675214839 0.816
728531496359642781146987523534278169891465372267193854412859637983716245675324918 2.895
976845321234916857581237946317598462829461573465723198793152684658374219142689735 199.058
648725913127394685539168742254619837396847251871532496483271569962453178715986324 3.916
625734189174589326398612547281457693536198274749326851962843715857961432413275968 17.513
934716852587392614216458937652849371893571426471623598765134289149285763328967145 0.151
649138752258974136713562984527416893981327465436859271164795328872643519395281647 0.195
218597436639421857574386921897634512145278693326159784762815349453962178981743265 4.534
571489362489236517362157489917842653825613794634795128256974831798361245143528976 13.601
274138956536972418198654372467821593325769841981345267612493785859217634743586129 0.243
781694235342851967695732148427185396159376824836249571514927683973568412268413759 0.207
341275698867139452925864731654927813738516924192348567483692175276451389519783246 1.133
983725164654183279712496583478612395196534827325978641869341752541267938237859416 11.344
519843762476192583382576149124369875965718234738254916843927651691485327257631498 2.016
632154978957836412184927653341578296728469135569312784475293861816745329293681547 5.483
219368754834517692567249831691482375728653149345791268186974523473125986952836417 3.795
421758639367941582589362174294836715678195243135274896853619427716423958942587361 0.821
692184573187235469354769281743692158968571324521348697275913846419856732836427915 15.173
689452317413798526572316849861925734725834961934167258397541682156289473248673195 0.562
572496318689731542431258769195387426326149875748625931867913254914572683253864197 0.623
524783169318926547679154238746318952835279614192465873453692781981547326267831495 0.182
275439168613852947984761253356247819421698375897315426762984531148573692539126784 1.058
927468531345971682816235479682719345753824196491356728538197264174682953269543817 1.215
935167284682954731741238659218576493357849126469312578524683917896721345173495862 5.495
245871693193246875678395124529614387436587912817932546351429768782163459964758231 0.296
591463287374298615268571439417925863932684751856137924125746398643859172789312546 0.117
182956473536174298497832651264789135875341962913625847659213784328497516741568329 0.222
652183497783495126194762853928574361516238974347916285435629718879351642261847539 4.752
537218964961345287284769531452897316679134825813526479326951748198472653745683192 3.382
451863279732594681896721354529186437614357928387249165273915846165438792948672513 3.189
856173294293456781147982653378621945429835176615749328564397812781264539932518467 7.216
764185392285397416139624578856972143973416825421538769642753981318249657597861234 10.207
453167928817295436269483157584731692932546781176829345641352879728914563395678214 5.782
934567821125984367768321459481296735279135684653748192342619578897453216516872943 9.794
428631597956478213371295648137582469582964731649713825213847956865329174794156382 0.262
296187435145369827783254691368745912927831546451692783672418359534926178819573264 14.090
571824936438796152962135748647381529259647381183259467316578294795462813824913675 2.551
643857129217469358958123476491685732832741695576932841785396214324518967169274583 1.382
581426793637589124942713865318265947765894231294137658176342589823951476459678312 12.187
765429381184673529239851674572914863613785492498236715957362148821547936346198257 1.328
673841925519762348842395671485139762326478519791256834957614283138927456264583197 2.877
932546817681273945574981326396824751245197638817635294729418563163752489458369172 1.628
814739625963825741725614398257986134398142576641573289136497852482351967579268413 16.581
932746518154938267678512394543671829789254136216893745425389671861427953397165482 0.434
762834159398251746541976382459163278176528934823749561915687423637492815284315697 4.152
637289541954361287218574396495126738381947652726853419842615973179432865563798124 0.699
374198526286435791915276384452817963798653412163924857637582149849361275521749638 75.394
879123564243568719651974823594817632316295487782346951468732195937651248125489376 10.741
124795638358146279679328451762834915543961827981257346497612583216583794835479162 2.106
794523816652781493831946527349152678528367941176894352287435169965218734413679285 1.701
927561834184237965356948721761825493592413678843796512635189247479352186218674359 0.066
635947812948216357712538946457382169196754238283169475579423681824671593361895724 0.529
314279658956348721287165349428537196795816234631924587142793865579682413863451972 0.310
163259874784136592529847631275913486398462715641785923956371248812594367437628159 7.022
589143672147296853623758941265479138498315726731682594812537469956824317374961285 45.892
453796182879512364621834597714653829592481736386279415237165948968347251145928673 3.163
956723814782164539143985276314876952625419783897352461478231695539648127261597348 1.181
694781352185392467732654198543918726861527934279463815927145683356879241418236579 5.873
935874216728613945461592873514986327872435169693127458356248791147369582289751634 0.727
518432967627859143394716852782593614135674298469281735846125379253967481971348526 0.505
167954832834762591592831764729648153613579428485213679978425316251386947346197285 1.600
653924187917836542428715936596173428841269375372458691734681259265397814189542763 1.390
391675482648912375725843916814796523563128794279354861456287139137469258982531647 18.287
137429865852163974496578213328615497945837126761294358214786539579341682683952741 2.234
235796814187543926946218537379185462468927153521634798694852371713469285852371649 5.684
579384261684215973321679485942751638756823149813946752238497516495168327167532894 18.957
651823749732954618948167352316589274295471836874236591183695427467312985529748163 9.454
361274598827569134945183762756928341138457629492631875273845916689312457514796283 0.286
893546712542713869176928354265489173981372546734651928427835691359164287618297435 0.151
524378169768912354931465872852693741416257938397184526679521483283749615145836297 0.168
876913542915426837423857196258734619134569278697182354542398761781645923369271485 11.371
564973182827154936193268475279346518651897324348521697912685743736412859485739261 2.670
827365149934712685561894273786143592143259867295687314358976421672431958419528736 2.639
984657312653218794271943658725386941498172563316594287167835429549721836832469175 7.557
918325647346897125572146893624973581135482976897561234461239758789654312253718469 0.290
289167543745893126163542879417356982638219754952478361394685217571924638826731495 4.324
594317268867429513321568479439751826156842937278936154742695381613284795985173642 0.259
726345918893712645541986273287531469659824731314679852968157324132468597475293186 3.155
327156948865492173149873625452381796936247851781569432698725314573614289214938567 10.811
683975124945312786721846395174568932369124857852793461517289643296431578438657219 7.578
238954761154786923976213458425839617793621584861475392547168239612397845389542176 2.983
623475918459281637178693452764352189385917246291864573937146825842539761516728394 1.681
537184296824769531916352784281647359493215867675938142368471925159826473742593618 0.511
849176325673254918152398746326581479485927631917643852564832197798415263231769584 2.318
169842735387915264452736918874123596596487321213659487725368149948271653631594872 0.494
248967135315824679679513428182439756437156892596278341864792513953641287721385964 10.937
284756193975318462163942875598473621736821549412695738827534916359167284641289357 0.685
759418623213675948846392175925186437638724519174953286567841392391267854482539761 0.705
723685149514293687689714235137928564965347821842561973378156492491832756256479318 14.266
516278394249136758837549126765912843398654271124783569472361985981425637653897412 1.974
897532461423861597561947382785429613619358274342716859238195746956274138174683925 40.238
745681293398425167216973584829157346563849721174236958632514879987362415451798632 1.666
123864957658297431497315286519476823384521679276983145945638712732149568861752394 0.285
247631859985247361163859274394786125621594738758312496436978512519423687872165943 0.050
653978214879412635412653987381764529924835761567291843235187496798346152146529378 15.905
643918275975246318218375964752194683481563792396827541837651429169432857524789136 3.896
382617954654983217197524683749156832531842796268379541916235478875461329423798165 5.377
792581463856734219134296578315947682267158394948362157421679835673825941589413726 0.117
476352189258169734193748256985276341634915872721834695869427513517693428342581967 24.430
691354872372618594584972631948521367256783419713496258437269185865147923129835746 4.829
143958762957623814268471935316847259879532641425169378792314586581796423634285197 41.611
423679581157428693986153472794215836368947125512386749831594267279861354645732918 5.451
239157864657483192184926573891345627542768319376219485713694258428571936965832741 0.498
497213865236895714185647392354961278621784539978352146763529481812476953549138627 8.870
674921385918536274325847961437695128591283746862174593746319852189452637253768419 3.099
179438562246519783835672914452761839763895241981243675514987326698324157327156498 1.154
632485179174963528985271463319628754726534891458197632563842917241759386897316245 1.225
238546971947812356561937824716329485482751639359468712675184293823695147194273568 1.517
745129683238647195169853427387495261524761839916238754652374918873912546491586372 10.569
536971428478562391192834657247193865369485172815627943721346589954718236683259714 0.711
675493821912758463348162597156287349294635178837914256789521634421376985563849712 18.190
751482693934761582286593471412976358365128749897345126528614937649837215173259864 41.810
356178942481295637729364815572631489164789253893542761238417596915826374647953128 6.390
921486357576123498483975261359648172817352649264791583638517924795234816142869735 1.622
692785143483126957715493682357219468128654739946837521839541276274968315561372894 0.460
495326187728951346361487925836714592179265834254893761647539218583142679912678453 1.139
147528693598613247263947185315896724789452316624371958471265839852739461936184572 0.247
675893142843125769912647358594372816768914235321586497436758921157239684289461573 0.871
456318972823749516197526834562937481314862759789451263238674195671295348945183627 2.462
693528147742361859185794326324876915861935274957412683239157468476283591518649732 4.181
713895264925146873486732195274583619358961742169274538891427356532619487647358921 15.564
139784652756329841284615397463971285921568734875432169347196528698257413512843976 6.657
429786513785413692361592487196254738572839164843167259654328971218975346937641825 0.629
728395164465127983139486572354761829896254731217938645983572416642819357571643298 2.035
175243689938156472426978351649381725257694138381527964812769543794835216563412897 1.997
956748213824139675371652894297463581165827439438591726689374152513286947742915368 1.266
481579263596238174372461958859146327127893546634752819748915632913624785265387491 0.813
657348921983126475241579683478612539532794168169835742714253896825967314396481257 3.258
512734896796158234483962175367589412149326758258417369674293581835641927921875643 0.310
763954821452183769189267354597641238624839175831572946915326487348715692276498513 7.257
894152673573469812612837495145683927328971546967245138756314289231598764489726351 0.174
564123789921487356837659142748912563293546871156378924689734215412895637375261498 1.072
314852769975631824862479513789245631523196487641783295498367152157928346236514978 0.349
572486391941357682683912754859173246724569813316824579495638127167295438238741965 7.570
194378652836254179275916843562847931943162785781539426658421397319785264427693518 6.101
486729315735416298291835476624597831317284659958163724569342187842971563173658942 19.121
297561384561438927438729156613897542924615873785342619359174268876253491142986735 9.119
579614382184327956263958714835249167792561843416783295328496571947135628651872439 3.326
184395672679824531532716948465178329891632754327549186716483295958267413243951867 0.272
275643891689251437314789265957436128431827956826915374143572689792168543568394712 0.925
721648953539127486864935127248396715153472869976851342492583671317264598685719234 3.131
173965842586247391429813756352791684647538129918624573794386215861452937235179468 10.574
523968471469317528187524936894653217652871349731249865975132684248796153316485792 0.905
145679823829143675367582941716254389293817456584396217631425798478961532952738164 0.211
694128357381457926572639481218943765463572198957816243846391572739265814125784639 5.994
437162985296758413158394672921635847574829136683417259719243568342586791865971324 1.384
974561823263498517518372946749213658325786194186945732832659471491837265657124389 8.782
954128763128637549736495812871569234593274681642813975415986327389742156267351498 2.951
354269871879415236621783495218957364567341982493826517935174628742638159186592743 1.322
682431795157896342943725681795268413328147569416359827534612978861973254279584136 1.926
984621357516739248327845916645382791879164523231597684793218465152476839468953172 0.302
369275841417689253258431796641357928925846137873192465182564379594713682736928514 0.532
835749216296581347714263598148695723362817459957324681679152834581436972423978165 4.066
817526934592483176634197258381249567976358412245761893758612349469835721123974685 7.694
839762415217543968465918723981374652746285139523691847672459381154837296398126574 42.937
297615384481237695356984172723846519864591237915723468639458721572169843148372956 1.629
246351987315987624987624135724136598839542716561879243698415372173268459452793861 0.360
142685739968743251573291684235167948416839572789524316857916423624358197391472865 0.323
849712536725364891316985724932471685157628943468593217581246379694837152273159468 4.851
135267948462891735879345126981426573356179482724583619518934267247658391693712854 0.183
519327846674891235823456917461973582982165473357248169796584321145632798238719654 21.990
374182596861359472952746183436871925298564317517923864145697238729438651683215749 3.850
425736891836194527179825643984372165761548932352961784218653479593487216647219358 0.104
275314869396785214814692573427139685651248937938567142162973458543821796789456321 0.721
649178352153942786287365491461597238572831649398426175715284963926753814834619527 7.249
216798354859643271347521896162837549598164732473259618721485963985316427634972185 37.296
573269814216584379849173652964325781325817496187946523752431968638792145491658237 1.569
516287439427693581398415267971562843845371926263948715752836194139724658684159372 0.611
381275964924631785567489231839517426476923158215864379793156842152748693648392517 2.885
512879346648352719937641825361527498289463571475198263826934157793215684154786932 4.011
169325487274168953583479162825743619391652874746891325418237596937586241652914738 0.287
658237419237194856194658273481973562925461738763582194312746985849315627576829341 1.453
576842193192763845834195726245387619619254378783916452461539287928671534357428961 2.822
132586749754129638689473512548731296296854371371962854467215983925348167813697425 1.612
965328417874156329132794856497685231651243798328917564286579143719432685543861972 18.123
581742396432916857697385412178269543264153978359478621943627185826591734715834269 5.983
864351972123976854795824361436798215918562743257413689341689527679245138582137496 1.619
317594682894216753562783194623458917478169235951372846145927368736841529289635471 0.812
782915436196438527543276918957841362618329754234567891469752183871693245325184679 9.188
579824631218673945463591782136748259795236814824915376982157463357462198641389527 6.317
574986321218437569936251748347692185892315476651874293789543612165729834423168957 43.503
273958416854361729916274583781695342642183975395427861537812694168549237429736158 0.070
974328516185746392263915748492573681516892473738164925359481267827659134641237859 5.500
875932614613584972294167385139875426486291753527643198341728569952316847768459231 4.834
791635248236948571548721396374289165865417923912563784453892617627154839189376452 0.490
287619534941537628356842719673498152418253967529761483894126375132975846765384291 0.339
825739164649215837731648259468597312297381546153462978312876495986154723574923681 7.501
621875349957234816384961527576189234143652978298743651419526783735498162862317495 6.163
743289156592146873186735249328451967914627385657893421861974532239568714475312698 33.382
519468732247359861683127495492536187761984253835271649124695378358742916976813524 0.087
682193457574268193193745862265971348819436275437852916341627589956384721728519634 1.351
483976521162548397597231468956417283324869175718325946839754612271693854645182739 0.457
438791265627534198159682734365418972284379651791256483542867319816923547973145826 0.830
739624185426581973815937264197352648658749321342168759581273496974816532263495817 1.948
615794382729138456348526719871365924456219837932847165167953248593482671284671593 2.695
984576312736281954251439786349752861517863429862194573125947638698315247473628195 0.429
541398762673421985982756134157284693269573841438619257716835429394162578825947316 1.548
297846513385271946614539872452967381963185724178423659836712495729354168541698237 2.828
495216378163785942287439165651893427732154896849627531576341289318972654924568713 29.921
365914782789623451124578963591832647873465129246197538932746815418259376657381294 2.477
321645978896731542547829631135487269964512783278963415459378126613294857782156394 1.516
752196834489537162631284597845629713926713485173845629264958371318472956597361248 1.430
579416328384792615261853749156238497493567281827149563638925174912374856745681932 2.746
378129465614538729592647381765813294481962573923754618157386942849275136236491857 1.040
541362879362789541897451623216834957435297186789516432653978214928143765174625398 0.404
968372154327451968541698372752863419693514827814927635485736291176289543239145786 13.656
193847256267395814458162793612789345879534621534621978746918532325476189981253467 0.376
369158724875492136241376589683925471527814693914763258138247965796531842452689317 1.639
736148925489325761152976384593812476264597813817634259628459137345781692971263548 2.093
752418639943657218861239574619724385574983162328165947196872453285341796437596821 5.205
163847295279536184845192763326458971594671328781329546452983617918765432637214859 0.329
896725314534169278721348695247586931913274856658913742475832169389651427162497583 44.841
925186437638794215147532968854923671371645829269871543712458396486319752593267184 4.668
842635719975142863631978254496253178753816492218794536569481327124367985387529641 1.586
632487195578193642194526873945371286281659734367842519413765928859214367726938451 12.791
764238915829561743153497286986374521237915468541682397318749652692153874475826139 0.256
425961873716835942389742651893527164574618239162493587641359728937286415258174396 0.353
356742189849651723721938564938267451412593678567814932285179346693425817174386295 0.239
624173985583629417791485632172348596456917328839256174245791863318562749967834251 1.815
318469257547218693926573841694382715853197426172654389739841562461725938285936174 4.752
438759162196234857752618943265873491974521386813496275647382519389165724521947638 2.986
651849723783162549429753618896274351147385962532691874368427195974518236215936487 1.455
796418253482563179135927486647259318253871964918346725824195637361784592579632841 22.505
782154639631798542495326781123867495869415273574239816318672954257941368946583127 0.192
916328475287451639534679218862915347793284561145763982479132856351896724628547193 58.078
684251739972863541315749682721498356846325917593617824138972465269584173457136298 15.706
742983156518462739639571284496327518257814963183659427375248691921736845864195372 0.860
361842957594137286728569431653974812147283569982651374416325798239718645875496123 17.613
572189436689342157143756892761895243894273615235614789957428361318967524426531978 0.681
867192354315874296294536871472968513639751428581243769928317645756489132143625987 1.927
486253917713649852925187364672591438159834276834726591247965183568312749391478625 38.229
347298561865471293912563784536142879289736145471985632654819327198327456723654918 1.590
918657324352984671467213895896435217231879456745162938123548769689721543574396182 0.848
895147362364529781172683594236794158548261937719358246681975423457832619923416875 7.666
327159468869437521541628973614285739758391246932764185193842657285976314476513892 14.313
863294751275318469941756832659187243312469578487523196738642915194835627526971384 0.802
782431695456928317913765482148576923537289164269143758624897531895314276371652849 4.062
243561789857239146169487235436872591721954863598316472984625317375198624612743958 3.816
586972143742813659913564827859237461167458932324691578678125394291346785435789216 3.635
527683419168549732934172856271496583846357291395218647452731968783965124619824375 2.794
513742968926318547784956132479583621268471359351269784835127496647895213192634875 2.703
276854193319726458548931726982467531765193284431285967827319645694578312153642879 1.678
635497281291385746748126593382754169967213458514869372426538917873941625159672834 6.836
513926478974185632826437519198653247352714896647892153431269785765348921289571364 4.167
591867423784352961236149587428716359369584172157293846643978215975421638812635794 18.120
185463729937128456624795831456387192873219564219546378791852643368974215542631987 5.741
327185649418962537659437218186329754942756183735841926564293871891574362273618495 1.903
315476298268139475974582361149358726782691543536724189851947632697213854423865917 13.754
653741829784392651912856374596127438371485296248639715865973142139264587427518963 1.258
637259814985134267124876953342918576891765432756423189213597648578642391469381725 4.505
786154923153296478294837156648915237927463815315728694539641782472589361861372549 9.757
154728963823965417796341852961832745582417639437659128249576381675183294318294576 1.796
362495187149387526758162493987536214526914738431728659815679342274853961693241875 12.151
384251967129768345675439281847193652532674819961582473493817526758326194216945738 61.127
231658749659274318478193562893746125126589437547321986964835271785412693312967854 1.004
156937842928654173473218659397825416264791538581463927615382794842179365739546281 1.626
782463195631529874459871263517346928248195736963287451174632589896754312325918647 17.737
354816729287349561916275834679524183523198476148763295435687912891432657762951348 0.634
543289716897416352216573489154932678689745123372861594931627845728354961465198237 6.643
752891346896423751314756892573918264689542173421637589938274615165389427247165938 0.818
596183472278459361314267985163742598985316247742895136637524819829631754451978623 6.091
583741269914632578726958314368214957295873146147569832652387491479125683831496725 1.789
937841625168253947524679183243187596679524831851936274792365418316498752485712369 1.623
697213845842567319315489762428175936763942581159638274934726158586391427271854693 152.894
371924586649385172825671943194736258732548691586219437957862314468193725213457869 0.406
891753642562814739734296581379461825416582973258379164945627318683145297127938456 2.270
275384619184796253936521487829465371641873592753912864497258136512639748368147925 5.315
429513687358769421176842539712635948983274156645198273891457362264381795537926814 5.102
541723896896514732237869451175682943928345617463971528714256389659138274382497165 0.923
138762549764519328952348761426987153319456872875123694547891236683274915291635487 11.559
962473851431568972857291463518346297746829135293157684625784319384915726179632548 2.266
647128953513679482892345671761253894934817526285964137356492718478531269129786345 6.528
129753486453869721786421395647538912895214673231697854568942137914375268372186549 31.670
528973164674182935913654872486325791295716348137498526351269487842537619769841253 10.758
125368479839147526674592381348916257712854693956723814563271948287439165491685732 0.707
248715639671938452593246187967153824812497563435862971156379248384621795729584316 1.678
923418675165732948487956312512873496738649251649125837276594183854361729391287564 17.335
128359476375684129694127583863472915217596348459831762542763891736918254981245637 1.418
854962317179453826326718954435697182281534769697281435963875241748126593512349678 4.514
427596183361482957598137642916375428254618739873924561149263875735841296682759314 56.069
318247596572968143649351872857632914961874325234519687485796231723185469196423758 29.846
619358742428796315357241896196423578584617239732985164973862451861534927245179683 1.809
435687921692145873817923465981562734273894516564371289756239148349718652128456397 1.019
758241693492635187136978425247189536813564279569723841971852364385496712624317958 8.054
537126984824953761691478253346589127152367849978241536415732698269814375783695412 15.478
326941785847562139159837426582614973674398251913275864431786592298153647765429318 4.274
186593247954271638273846591365714829498625713712938465549367182821459376637182954 4.782
374518926985762431126493587862931745591247368743685192417829653638154279259376814 2.217
675194832219738465348256179526987341483521796791463528852379614934615287167842953 6.233
859674231671293845423158679592346187146785923738912456314867592265439718987521364 1.402
569438172431672598278159643817963425394527861625841739183796254956284317742315986 3.344
236517984198462375754938612672154839489723561513896427947681253365279148821345796 1.072
318945726564273891297816345741392568952168473836754219475631982623489157189527634 4.567
218734965967152384345896172534928617896471523721365498689243751472519836153687249 3.723
715826493248973165639541287827319654593468721461257839182795346974632518356184972 0.405
642851937173249658598367124426915783851734269739628415965482371384176592217593846 6.171
217465398695831472843792165781643259364259817952187634538926741129374586476518923 0.131
372615489814729635965348127529486713436271598187593246791864352643952871258137964 2.094
835726419246139758179458623724591386518367294693284175457813962362975841981642537 1.879
689473152731529486452186379245368791178294563396751824517942638824637915963815247 1.238
579423168361758294824196735435917826297864513186235479752649381913582647648371952 0.660
195846372264537198783219654371698245529473816648152937817965423952384761436721589 0.450
136429758897516342425783961561394827273865194948172635384651279612947583759238416 10.063
721354698458619732639782541293571864547826913816493257374968125165247389982135476 11.406
